Nr.;Kunde;Liegenschaft;Gebäude;Ebene;Raum;Prüfobjekt;Gruppe;Typ;Hersteller;Seriennummer;Kostenstelle;Abteilung;Bemerkung;Art;Prüfdatum;RPE;RPE Grenzwert;VDE 0701-0702-VLTG Erfolgreich;UP;IP;RISO;RISO Grenzwert;UISO;IISO;VDE 0701-0702 Erfolgreich;IB?;IB? Grenzwert;U?;f;P;S;PF;I;U;IPE?;IPE? Grenzwert;ULN;Frequenz(Ist);VDE 0701-0702-EDV Erfolgreich;
97;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0043 Netzteil;;;;;;;;Secutest Messung;17.02.2017 23:34:24;;;;;;300 MO;=2,00 MO;539 V;0,1 mA;Bestanden;2 µA;=500 µA;229,9 V;50,0 Hz50,0 Hz;2 W;13 VA;0,19 ;0,06 A;237,1 V;;;;;;
98;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0044 Netzteil;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
99;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0044 Netzteil;;;;;;;;Secutest Messung;17.02.2017 23:33:08;;;;;;300 MO;=2,00 MO;511 V;0,1 mA;Bestanden;3 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;0 W;1 VA;1,00 ;0,00 A;237,0 V;;;;;;
100;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0045 Netzteil;;;Ktech;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
101;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0045 Netzteil;;;Ktech;;;;;Secutest Messung;17.02.2017 23:36:17;;;;;;300 MO;=2,00 MO;542 V;0,1 mA;Bestanden;3 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;1 W;2 VA;1,00 ;0,01 A;236,6 V;;;;;;
102;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0046 DVD Player;;;Toshiba;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
103;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0046 DVD Player;;;Toshiba;;;;;Secutest Messung;17.02.2017 23:42:43;;;;;;300 MO;=2,00 MO;511 V;0,1 mA;Bestanden;3 µA;=500 µA;229,9 V;50,0 Hz50,0 Hz;3 W;13 VA;0,24 ;0,06 A;236,8 V;;;;;;
104;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0047 Kaltgeräteleitung Fernseher;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
105;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0047 Kaltgeräteleitung Fernseher;;;;;;;;Secutest Messung;17.02.2017 23:26:09;174 mO;=300 mO;Bestanden;40 mV;232 mA;300 MO;=1,00 MO;541 V;0,1 mA;;;;;;;;;;;;;;;;
106;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0048 Fernseher;;;SEG;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
107;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0048 Fernseher;;;SEG;;;;;Secutest Messung;17.02.2017 23:40:46;100 mO;=300 mO;;23 mV;232 mA;300 MO;=1,00 MO;542 V;0,1 mA;Bestanden;;;226,7 V;50,0 Hz;13 W;26 VA;0,49 ;0,11 A;236,7 V;354 µA;=3,50 mA;;50,0 Hz;;
108;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0049 Heizlüfter;;;CMI;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
109;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0049 Heizlüfter;;;CMI;;;;;Secutest Messung;17.02.2017 23:45:35;1,12 O;=300 mO;;262 mV;233 mA;;;;;Nicht erfolgreich;;;;;;;;;;;;;;;
110;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0050 Heizlüfter;;;CMI;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
111;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0050 Heizlüfter;;;CMI;;;;;Secutest Messung;17.02.2017 23:47:05;61 mO;=300 mO;;14 mV;232 mA;300 MO;=1,00 MO;512 V;0,1 mA;Bestanden;;;232,5 V;50,0 Hz;0 W;0 VA;1,00 ;0,00 A;236,7 V;31 µA;=3,50 mA;;50,0 Hz;;
112;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0051 Heizlüfter;;;CMI;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
113;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0051 Heizlüfter;;;CMI;;;;;Secutest Messung;17.02.2017 23:44:12;111 mO;=300 mO;;26 mV;232 mA;300 MO;=1,00 MO;542 V;0,1 mA;Bestanden;;;229,6 V;50,0 Hz;0 W;0 VA;1,00 ;0,00 A;236,7 V;33 µA;=3,50 mA;;50,0 Hz;;
114;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0052 Verlängerungsleitung;;Bügelbrett;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
115;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0052 Verlängerungsleitung;;Bügelbrett;;;;;;Secutest Messung;17.02.2017 23:31:14;56 mO;=300 mO;Bestanden;13 mV;232 mA;300 MO;=1,00 MO;542 V;0,1 mA;;;;;;;;;;;;;;;;
116;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0053 Heißklebepistole;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
117;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0053 Heißklebepistole;;;;;;;;Secutest Messung;17.02.2017 23:37:23;;;;;;300 MO;=2,00 MO;513 V;0,1 mA;Bestanden;3 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;28 W;29 VA;0,96 ;0,12 A;236,7 V;;;;;;
118;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0054 Heißklebepistole;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
119;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0054 Heißklebepistole;;;;;;;;Secutest Messung;17.02.2017 23:38:36;;;;;;300 MO;=2,00 MO;541 V;0,1 mA;Bestanden;3 µA;=500 µA;230,1 V;50,0 Hz50,0 Hz;26 W;28 VA;0,96 ;0,12 A;236,7 V;;;;;;
120;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0055 Heißklebepistole;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
121;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0055 Heißklebepistole;;;;;;;;Secutest Messung;17.02.2017 23:39:43;;;;;;300 MO;=2,00 MO;513 V;0,1 mA;Bestanden;3 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;24 W;25 VA;0,95 ;0,11 A;237,1 V;;;;;;
122;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0107 Mehrfachsteckdose;;3 fach;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
123;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R2 Materialraum;004/0107 Mehrfachsteckdose;;3 fach;;;;;;Secutest Messung;17.02.2017 21:01:28;3 mO;=300 mO;Bestanden;1 mV;225 mA;300 MO;=1,00 MO;540 V;0,1 mA;;;;;;;;;;;;;;;;
124;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;;;;;;;;;Raum;;;;;;;;;;;;;;;;;;;;;;;;;;
125;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0056 Kabeltrommel;;;Brennenstuhl;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
126;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0056 Kabeltrommel;;;Brennenstuhl;;;;;Secutest Messung;17.02.2017 22:41:53;702 mO;=800 mO;Bestanden;163 mV;232 mA;300 MO;=1,00 MO;542 V;0,1 mA;;;;;;;;;;;;;;;;
127;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0057 Kabeltrommel;;;Brennenstuhl;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
128;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0057 Kabeltrommel;;;Brennenstuhl;;;;;Secutest Messung;17.02.2017 22:40:13;563 mO;=800 mO;Bestanden;131 mV;233 mA;41,8 MO;=1,00 MO;543 V;0,1 mA;;;;;;;;;;;;;;;;
129;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0058 LED Strahler;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
130;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0058 LED Strahler;;;;;;;;Secutest Messung;17.02.2017 21:59:09;1,44 O;=300 mO;;333 mV;232 mA;;;;;Nicht erfolgreich;;;;;;;;;;;;;;;
131;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0059 LED Strahler;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
132;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0059 LED Strahler;;;;;;;;Secutest Messung;17.02.2017 22:07:15;734 mO;=300 mO;;167 mV;228 mA;;;;;Nicht erfolgreich;;;;;;;;;;;;;;;
133;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0060 Kaltgeräteleitung;;Teewärmer;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
134;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0060 Kaltgeräteleitung;;Teewärmer;;;;;;Secutest Messung;17.02.2017 22:34:43;36 mO;=300 mO;Bestanden;8 mV;232 mA;300 MO;=1,00 MO;543 V;0,1 mA;;;;;;;;;;;;;;;;
135;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0061 Teewärmer;;;Rieber;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
136;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0061 Teewärmer;;;Rieber;;;;;Secutest Messung;17.02.2017 22:32:01;128 mO;=300 mO;;30 mV;232 mA;300 MO;=1,00 MO;512 V;0,1 mA;Bestanden;;;230,1 V;50,0 Hz;105 W;105 VA;1,00 ;0,45 A;235,1 V;59 µA;=3,50 mA;;50,0 Hz;;
137;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0062 Teewärmer;;;Rieber;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
138;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0062 Teewärmer;;;Rieber;;;;;Secutest Messung;17.02.2017 22:27:44;93 mO;=300 mO;;22 mV;232 mA;300 MO;=1,00 MO;543 V;0,1 mA;Bestanden;;;230,0 V;50,0 Hz;105 W;105 VA;1,00 ;0,45 A;234,4 V;62 µA;=3,50 mA;;50,0 Hz;;
139;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0063 Netzteil;;Lichterkette;;;;;Grün;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
140;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0063 Netzteil;;Lichterkette;;;;;Grün;Secutest Messung;17.02.2017 21:53:50;;;;;;300 MO;=2,00 MO;542 V;0,1 mA;Bestanden;3 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;4 W;7 VA;0,52 ;0,03 A;235,7 V;;;;;;
141;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0064 Klemmlampe;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
142;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0064 Klemmlampe;;;;;;;;Secutest Messung;;;;;;;;;;;;;;;;;;;;;;;;;;
143;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0065 Klemmlampe;;;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
144;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0065 Klemmlampe;;;;;;;;Secutest Messung;;;;;;;;;;;;;;;;;;;;;;;;;;
145;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0066 Netzteil;;Lichterkette;;;;;Weiß;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
146;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0066 Netzteil;;Lichterkette;;;;;Weiß;Secutest Messung;17.02.2017 22:20:41;;;;;;300 MO;=2,00 MO;542 V;0,1 mA;Bestanden;3 µA;=500 µA;229,9 V;50,0 Hz50,0 Hz;157 W;157 VA;1,00 ;0,67 A;235,9 V;;;;;;
147;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0067 Netzteil;;Lichterkette;;;;;Weiß;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
148;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0067 Netzteil;;Lichterkette;;;;;Weiß;Secutest Messung;17.02.2017 22:18:53;;;;;;300 MO;=2,00 MO;511 V;0,1 mA;Bestanden;3 µA;=500 µA;230,1 V;50,0 Hz50,0 Hz;158 W;158 VA;1,00 ;0,67 A;235,3 V;;;;;;
149;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0068 Netzteil;;Lichterkette;;;;;Weiß;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
150;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0068 Netzteil;;Lichterkette;;;;;Weiß;Secutest Messung;17.02.2017 22:22:50;;;;;;300 MO;=2,00 MO;512 V;0,1 mA;Bestanden;3 µA;=500 µA;230,0 V;50,0 Hz50,0 Hz;155 W;155 VA;1,00 ;0,66 A;235,3 V;;;;;;
151;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0069 Heizlüfter;;;Einhell;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
152;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0069 Heizlüfter;;;Einhell;;;;;Secutest Messung;17.02.2017 22:09:12;;;;;;300 MO;=2,00 MO;512 V;0,1 mA;Bestanden;2 µA;=500 µA;230,1 V;50,0 Hz50,0 Hz;4 W;5 VA;1,00 ;0,02 A;235,9 V;;;;;;
153;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0070 Kaffeemaschine;;;Krups;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
154;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0070 Kaffeemaschine;;;Krups;;;;;Secutest Messung;17.02.2017 22:11:45;229 mO;=300 mO;;53 mV;232 mA;300 MO;=1,00 MO;542 V;0,1 mA;Bestanden;;;229,9 V;50,0 Hz;0,98 kW;0,98 kVA;1,00 ;4,24 A;231,9 V;19 µA;=3,50 mA;;50,0 Hz;;
155;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0071 Mehrfachsteckdose;;4 fach;;;;;IP 44;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
156;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0071 Mehrfachsteckdose;;4 fach;;;;;IP 44;Secutest Messung;17.02.2017 22:36:28;34 mO;=300 mO;Bestanden;8 mV;232 mA;300 MO;=1,00 MO;511 V;0,1 mA;;;;;;;;;;;;;;;;
157;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0072 Mehrfachsteckdose;;2 fach;;;;;IP 44;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
158;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0072 Mehrfachsteckdose;;2 fach;;;;;IP 44;Secutest Messung;17.02.2017 22:38:30;33 mO;=300 mO;Bestanden;8 mV;235 mA;300 MO;=1,00 MO;543 V;0,1 mA;;;;;;;;;;;;;;;;
159;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0073 Einkochgerät;;;CLATronic;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
160;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0073 Einkochgerät;;;CLATronic;;;;;Secutest Messung;17.02.2017 22:52:51;146 mO;=300 mO;;34 mV;232 mA;300 MO;=1,00 MO;543 V;0,1 mA;Bestanden;;;230,1 V;50,0 Hz;1,78 kW;1,78 kVA;1,00 ;7,72 A;230,3 V;65 µA;=3,50 mA;;50,0 Hz;;
161;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0074 Einkochgerät;;;CLATronic;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
162;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0074 Einkochgerät;;;CLATronic;;;;;Secutest Messung;;;;;;;;;;;;;;;;;;;;;;;;;;
163;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0075 Einkochgerät;;;Westfalia;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
164;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0075 Einkochgerät;;;Westfalia;;;;;Secutest Messung;17.02.2017 22:59:08;339 mO;=800 mO;;78 mV;230 mA;57,8 MO;=1,00 MO;543 V;0,1 mA;Bestanden;;;229,9 V;50,0 Hz;1,73 kW;1,73 kVA;1,00 ;7,49 A;230,9 V;86 µA;=3,50 mA;;50,0 Hz;;
165;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0076 Waffeleisen;;;Cloer;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
166;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R3 Elternbeirat;004/0076 Waffeleisen;;;Cloer;;;;;Secutest Messung;17.02.2017 22:24:25;58 mO;=300 mO;;13 mV;232 mA;300 MO;=1,00 MO;543 V;0,1 mA;Bestanden;;;229,9 V;50,0 Hz;941 W;941 VA;1,00 ;4,04 A;232,7 V;36 µA;=3,50 mA;;50,0 Hz;;
167;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R4 Büro Frau Märkl;;;;;;;;;Raum;;;;;;;;;;;;;;;;;;;;;;;;;;
168;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R4 Büro Frau Märkl;004/0077 Kaltgeräteleitung;;Monitor;;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
169;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R4 Büro Frau Märkl;004/0077 Kaltgeräteleitung;;Monitor;;;;;;Secutest Messung;17.02.2017 23:58:53;94 mO;=300 mO;Bestanden;22 mV;232 mA;300 MO;=1,00 MO;540 V;0,1 mA;;;;;;;;;;;;;;;;
170;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R4 Büro Frau Märkl;004/0078 Monitor;;;Acer;;;;;Prüfobjekt;;;;;;;;;;;;;;;;;;;;;;;;;;
171;004 Spatzennest Penzberg;;G1 Hauptgebäude;E1 1.OG;R4 Büro Frau Märkl;004/0078 Monitor;;;Acer;;;;;Secutest Messung;18.02.2017 00:04:48;90 mO;=300 mO;;21 mV;232 mA;;;;;;;;;50,0 Hz;1 W;4 VA;1,00 ;0,02 A;235,0 V;294 µA300 µA;=3,50 mA=3,50 mA;235,1 V234,9 V;50,0 Hz50,0 Hz;Bestanden;
172;004 Spatzennest
